MUNICIPIO;CLAVE_ENTIDAD;CLAVE_MUNICIPIO
SAN MATÍAS TLALANCALECA;21;134
SAN MIGUEL IXITLÁN;21;135
SAN MIGUEL XOXTLA;21;136
SAN NICOLÁS BUENOS AIRES;21;137
SAN NICOLÁS DE LOS RANCHOS;21;138
SAN PABLO ANICANO;21;139
SAN PEDRO CHOLULA;21;140
SAN PEDRO YELOIXTLAHUACA;21;141
SAN SALVADOR EL SECO;21;142
SAN SALVADOR EL VERDE;21;143
SAN SALVADOR HUIXCOLOTLA;21;144
SAN SEBASTIÁN TLACOTEPEC;21;145
SANTA CATARINA TLALTEMPAN;21;146
SANTA INÉS AHUATEMPAN;21;147
SANTA ISABEL CHOLULA;21;148
SANTIAGO MIAHUATLÁN;21;149
HUEHUETLÁN EL GRANDE;21;150
SANTO TOMÁS HUEYOTLIPAN;21;151
SOLTEPEC;21;152
TECALI DE HERRERA;21;153
TECAMACHALCO;21;154
TECOMATLÁN;21;155
TEHUACÁN;21;156
TEHUITZINGO;21;157
TENAMPULCO;21;158
TEOPANTLÁN;21;159
TEOTLALCO;21;160
TEPANCO DE LÓPEZ;21;161
TEPANGO DE RODRÍGUEZ;21;162
TEPATLAXCO DE HIDALGO;21;163
TEPEACA;21;164
TEPEMAXALCO;21;165
TEPEOJUMA;21;166
TEPETZINTLA;21;167
TEPEXCO;21;168
TEPEXI DE RODRÍGUEZ;21;169
TEPEYAHUALCO;21;170
TEPEYAHUALCO DE CUAUHTÉMOC;21;171
TETELA DE OCAMPO;21;172
TETELES DE AVILA CASTILLO;21;173
TEZIUTLÁN;21;174
TIANGUISMANALCO;21;175
TILAPA;21;176
TLACOTEPEC DE BENITO JUÁREZ;21;177
TLACUILOTEPEC;21;178
TLACHICHUCA;21;179
TLAHUAPAN;21;180
TLALTENANGO;21;181
TLANEPANTLA;21;182
TLAOLA;21;183
TLAPACOYA;21;184
TLAPANALÁ;21;185
TLATLAUQUITEPEC;21;186
TLAXCO;21;187
TOCHIMILCO;21;188
TOCHTEPEC;21;189
TOTOLTEPEC DE GUERRERO;21;190
TULCINGO;21;191
TUZAMAPAN DE GALEANA;21;192
TZICATLACOYAN;21;193
VENUSTIANO CARRANZA;21;194
VICENTE GUERRERO;21;195
XAYACATLÁN DE BRAVO;21;196
XICOTEPEC;21;197
XICOTLÁN;21;198
XIUTETELCO;21;199
XOCHIAPULCO;21;200
XOCHILTEPEC;21;201
XOCHITLÁN DE VICENTE SUÁREZ;21;202
XOCHITLÁN TODOS SANTOS;21;203
YAONÁHUAC;21;204
YEHUALTEPEC;21;205
ZACAPALA;21;206
ZACAPOAXTLA;21;207
ZACATLÁN;21;208
ZAPOTITLÁN;21;209
ZAPOTITLÁN DE MÉNDEZ;21;210
ZARAGOZA;21;211
ZAUTLA;21;212
ZIHUATEUTLA;21;213
ZINACATEPEC;21;214
ZONGOZOTLA;21;215
ZOQUIAPAN;21;216
ZOQUITLÁN;21;217
NO ESPECIFICADO;21;999
AMEALCO DE BONFIL;22;001
PINAL DE AMOLES;22;002
ARROYO SECO;22;003
CADEREYTA DE MONTES;22;004
COLÓN;22;005
CORREGIDORA;22;006
EZEQUIEL MONTES;22;007
HUIMILPAN;22;008
JALPAN DE SERRA;22;009
LANDA DE MATAMOROS;22;010
EL MARQUÉS;22;011
PEDRO ESCOBEDO;22;012
PEÑAMILLER;22;013
QUERÉTARO;22;014
SAN JOAQUÍN;22;015
SAN JUAN DEL RÍO;22;016
TEQUISQUIAPAN;22;017
TOLIMÁN;22;018
NO ESPECIFICADO;22;999
COZUMEL;23;001
FELIPE CARRILLO PUERTO;23;002
ISLA MUJERES;23;003
OTHÓN P. BLANCO;23;004
BENITO JUÁREZ;23;005
JOSÉ MARÍA MORELOS;23;006
LÁZARO CÁRDENAS;23;007
SOLIDARIDAD;23;008
TULUM;23;009
BACALAR;23;010
PUERTO MORELOS;23;011
NO ESPECIFICADO;23;999
AHUALULCO;24;001
ALAQUINES;24;002
AQUISMÓN;24;003
ARMADILLO DE LOS INFANTE;24;004
CÁRDENAS;24;005
CATORCE;24;006
CEDRAL;24;007
CERRITOS;24;008
CERRO DE SAN PEDRO;24;009
CIUDAD DEL MAÍZ;24;010
CIUDAD FERNÁNDEZ;24;011
TANCANHUITZ;24;012
CIUDAD VALLES;24;013
COXCATLÁN;24;014
CHARCAS;24;015
EBANO;24;016
GUADALCÁZAR;24;017
HUEHUETLÁN;24;018
LAGUNILLAS;24;019
MATEHUALA;24;020
MEXQUITIC DE CARMONA;24;021
MOCTEZUMA;24;022
RAYÓN;24;023
RIOVERDE;24;024
SALINAS;24;025
SAN ANTONIO;24;026
SAN CIRO DE ACOSTA;24;027
SAN LUIS POTOSÍ;24;028
SAN MARTÍN CHALCHICUAUTLA;24;029
SAN NICOLÁS TOLENTINO;24;030
SANTA CATARINA;24;031
SANTA MARÍA DEL RÍO;24;032
SANTO DOMINGO;24;033
SAN VICENTE TANCUAYALAB;24;034
SOLEDAD DE GRACIANO SÁNCHEZ;24;035
TAMASOPO;24;036
TAMAZUNCHALE;24;037
TAMPACÁN;24;038
TAMPAMOLÓN CORONA;24;039
TAMUÍN;24;040
TANLAJÁS;24;041
TANQUIÁN DE ESCOBEDO;24;042
TIERRA NUEVA;24;043
VANEGAS;24;044
VENADO;24;045
VILLA DE ARRIAGA;24;046
VILLA DE GUADALUPE;24;047
VILLA DE LA PAZ;24;048
VILLA DE RAMOS;24;049
VILLA DE REYES;24;050
VILLA HIDALGO;24;051
VILLA JUÁREZ;24;052
AXTLA DE TERRAZAS;24;053
XILITLA;24;054
ZARAGOZA;24;055
VILLA DE ARISTA;24;056
MATLAPA;24;057
EL NARANJO;24;058
NO ESPECIFICADO;24;999
AHOME;25;001
ANGOSTURA;25;002
BADIRAGUATO;25;003
CONCORDIA;25;004
COSALÁ;25;005
CULIACÁN;25;006
CHOIX;25;007
ELOTA;25;008
ESCUINAPA;25;009
EL FUERTE;25;010
GUASAVE;25;011
MAZATLÁN;25;012
MOCORITO;25;013
ROSARIO;25;014
SALVADOR ALVARADO;25;015
SAN IGNACIO;25;016
SINALOA;25;017
NAVOLATO;25;018
NO ESPECIFICADO;25;999
ACONCHI;26;001
AGUA PRIETA;26;002
ALAMOS;26;003
ALTAR;26;004
ARIVECHI;26;005
ARIZPE;26;006
ATIL;26;007
BACADÉHUACHI;26;008
BACANORA;26;009
BACERAC;26;010
BACOACHI;26;011
BÁCUM;26;012
BANÁMICHI;26;013
BAVIÁCORA;26;014
BAVISPE;26;015
BENJAMÍN HILL;26;016
CABORCA;26;017
CAJEME;26;018
CANANEA;26;019
CARBÓ;26;020
LA COLORADA;26;021
CUCURPE;26;022
CUMPAS;26;023
DIVISADEROS;26;024
EMPALME;26;025
ETCHOJOA;26;026
FRONTERAS;26;027
GRANADOS;26;028
GUAYMAS;26;029
HERMOSILLO;26;030
HUACHINERA;26;031
HUÁSABAS;26;032
HUATABAMPO;26;033
HUÉPAC;26;034
IMURIS;26;035
MAGDALENA;26;036
MAZATÁN;26;037
MOCTEZUMA;26;038
NACO;26;039
NÁCORI CHICO;26;040
NACOZARI DE GARCÍA;26;041
NAVOJOA;26;042
NOGALES;26;043
ONAVAS;26;044
OPODEPE;26;045
OQUITOA;26;046
PITIQUITO;26;047
PUERTO PEÑASCO;26;048
QUIRIEGO;26;049
RAYÓN;26;050
ROSARIO;26;051
SAHUARIPA;26;052
SAN FELIPE DE JESÚS;26;053
SAN JAVIER;26;054
SAN LUIS RÍO COLORADO;26;055
SAN MIGUEL DE HORCASITAS;26;056
SAN PEDRO DE LA CUEVA;26;057
SANTA ANA;26;058
SANTA CRUZ;26;059
SÁRIC;26;060
SOYOPA;26;061
SUAQUI GRANDE;26;062
TEPACHE;26;063
TRINCHERAS;26;064
TUBUTAMA;26;065
URES;26;066
VILLA HIDALGO;26;067
VILLA PESQUEIRA;26;068
YÉCORA;26;069
GENERAL PLUTARCO ELÍAS CALLES;26;070
BENITO JUÁREZ;26;071
SAN IGNACIO RÍO MUERTO;26;072
NO ESPECIFICADO;26;999
BALANCÁN;27;001
CÁRDENAS;27;002
CENTLA;27;003
CENTRO;27;004
COMALCALCO;27;005
CUNDUACÁN;27;006
EMILIANO ZAPATA;27;007
HUIMANGUILLO;27;008
JALAPA;27;009
JALPA DE MÉNDEZ;27;010
JONUTA;27;011
MACUSPANA;27;012
NACAJUCA;27;013
PARAÍSO;27;014
TACOTALPA;27;015
TEAPA;27;016
TENOSIQUE;27;017
NO ESPECIFICADO;27;999
ABASOLO;28;001
ALDAMA;28;002
ALTAMIRA;28;003
ANTIGUO MORELOS;28;004
BURGOS;28;005
BUSTAMANTE;28;006
CAMARGO;28;007
CASAS;28;008
CIUDAD MADERO;28;009
CRUILLAS;28;010
GÓMEZ FARÍAS;28;011
GONZÁLEZ;28;012
GÜÉMEZ;28;013
GUERRERO;28;014
GUSTAVO DÍAZ ORDAZ;28;015
HIDALGO;28;016
JAUMAVE;28;017
JIMÉNEZ;28;018
LLERA;28;019
MAINERO;28;020
EL MANTE;28;021
MATAMOROS;28;022
MÉNDEZ;28;023
MIER;28;024
MIGUEL ALEMÁN;28;025
MIQUIHUANA;28;026
NUEVO LAREDO;28;027
NUEVO MORELOS;28;028
OCAMPO;28;029
PADILLA;28;030
PALMILLAS;28;031
REYNOSA;28;032
RÍO BRAVO;28;033
SAN CARLOS;28;034
SAN FERNANDO;28;035
SAN NICOLÁS;28;036
SOTO LA MARINA;28;037
TAMPICO;28;038
TULA;28;039
VALLE HERMOSO;28;040
VICTORIA;28;041
VILLAGRÁN;28;042
XICOTÉNCATL;28;043
NO ESPECIFICADO;28;999
AMAXAC DE GUERRERO;29;001
APETATITLÁN DE ANTONIO CARVAJAL;29;002
ATLANGATEPEC;29;003
ATLTZAYANCA;29;004
APIZACO;29;005
CALPULALPAN;29;006
EL CARMEN TEQUEXQUITLA;29;007
CUAPIAXTLA;29;008
CUAXOMULCO;29;009
CHIAUTEMPAN;29;010
MUÑOZ DE DOMINGO ARENAS;29;011
ESPAÑITA;29;012
HUAMANTLA;29;013
HUEYOTLIPAN;29;014
IXTACUIXTLA DE MARIANO MATAMOROS;29;015
IXTENCO;29;016
MAZATECOCHCO DE JOSÉ MARÍA MORELOS;29;017
CONTLA DE JUAN CUAMATZI;29;018
TEPETITLA DE LARDIZÁBAL;29;019
SANCTÓRUM DE LÁZARO CÁRDENAS;29;020
NANACAMILPA DE MARIANO ARISTA;29;021
ACUAMANALA DE MIGUEL HIDALGO;29;022
NATÍVITAS;29;023
PANOTLA;29;024
SAN PABLO DEL MONTE;29;025
SANTA CRUZ TLAXCALA;29;026
TENANCINGO;29;027
TEOLOCHOLCO;29;028
TEPEYANCO;29;029
TERRENATE;29;030
TETLA DE LA SOLIDARIDAD;29;031
TETLATLAHUCA;29;032
TLAXCALA;29;033
TLAXCO;29;034
TOCATLÁN;29;035
TOTOLAC;29;036
ZILTLALTÉPEC DE TRINIDAD SÁNCHEZ SANTOS;29;037
TZOMPANTEPEC;29;038
XALOZTOC;29;039
XALTOCAN;29;040
PAPALOTLA DE XICOHTÉNCATL;29;041
XICOHTZINCO;29;042
YAUHQUEMEHCAN;29;043
ZACATELCO;29;044
BENITO JUÁREZ;29;045
EMILIANO ZAPATA;29;046
LÁZARO CÁRDENAS;29;047
LA MAGDALENA TLALTELULCO;29;048
SAN DAMIÁN TEXÓLOC;29;049
SAN FRANCISCO TETLANOHCAN;29;050
SAN JERÓNIMO ZACUALPAN;29;051
SAN JOSÉ TEACALCO;29;052
SAN JUAN HUACTZINCO;29;053
SAN LORENZO AXOCOMANITLA;29;054
SAN LUCAS TECOPILCO;29;055
SANTA ANA NOPALUCAN;29;056
SANTA APOLONIA TEACALCO;29;057
SANTA CATARINA AYOMETLA;29;058
SANTA CRUZ QUILEHTLA;29;059
SANTA ISABEL XILOXOXTLA;29;060
NO ESPECIFICADO;29;999
ACAJETE;30;001
ACATLÁN;30;002
ACAYUCAN;30;003
ACTOPAN;30;004
ACULA;30;005
ACULTZINGO;30;006
CAMARÓN DE TEJEDA;30;007
ALPATLÁHUAC;30;008
ALTO LUCERO DE GUTIÉRREZ BARRIOS;30;009
ALTOTONGA;30;010
ALVARADO;30;011
AMATITLÁN;30;012
NARANJOS AMATLÁN;30;013
AMATLÁN DE LOS REYES;30;014
ANGEL R. CABADA;30;015
LA ANTIGUA;30;016
APAZAPAN;30;017
AQUILA;30;018
ASTACINGA;30;019
ATLAHUILCO;30;020
ATOYAC;30;021
ATZACAN;30;022
ATZALAN;30;023
TLALTETELA;30;024
AYAHUALULCO;30;025
BANDERILLA;30;026
BENITO JUÁREZ;30;027
BOCA DEL RÍO;30;028
CALCAHUALCO;30;029
CAMERINO Z. MENDOZA;30;030
CARRILLO PUERTO;30;031
CATEMACO;30;032
CAZONES DE HERRERA;30;033
CERRO AZUL;30;034
CITLALTÉPETL;30;035
COACOATZINTLA;30;036
COAHUITLÁN;30;037
COATEPEC;30;038
COATZACOALCOS;30;039
COATZINTLA;30;040
COETZALA;30;041
COLIPA;30;042
COMAPA;30;043
CÓRDOBA;30;044
COSAMALOAPAN DE CARPIO;30;045
COSAUTLÁN DE CARVAJAL;30;046
COSCOMATEPEC;30;047
COSOLEACAQUE;30;048
COTAXTLA;30;049
COXQUIHUI;30;050
COYUTLA;30;051
CUICHAPA;30;052
CUITLÁHUAC;30;053
CHACALTIANGUIS;30;054
CHALMA;30;055
CHICONAMEL;30;056
CHICONQUIACO;30;057
CHICONTEPEC;30;058
CHINAMECA;30;059
CHINAMPA DE GOROSTIZA;30;060
LAS CHOAPAS;30;061
CHOCAMÁN;30;062
CHONTLA;30;063
CHUMATLÁN;30;064
EMILIANO ZAPATA;30;065
ESPINAL;30;066
FILOMENO MATA;30;067
FORTÍN;30;068
GUTIÉRREZ ZAMORA;30;069
HIDALGOTITLÁN;30;070
HUATUSCO;30;071
HUAYACOCOTLA;30;072
HUEYAPAN DE OCAMPO;30;073
HUILOAPAN DE CUAUHTÉMOC;30;074
IGNACIO DE LA LLAVE;30;075
ILAMATLÁN;30;076
ISLA;30;077
IXCATEPEC;30;078
IXHUACÁN DE LOS REYES;30;079
IXHUATLÁN DEL CAFÉ;30;080
IXHUATLANCILLO;30;081
IXHUATLÁN DEL SURESTE;30;082
IXHUATLÁN DE MADERO;30;083
IXMATLAHUACAN;30;084
IXTACZOQUITLÁN;30;085
JALACINGO;30;086
XALAPA;30;087
JALCOMULCO;30;088
JÁLTIPAN;30;089
JAMAPA;30;090
JESÚS CARRANZA;30;091
XICO;30;092
JILOTEPEC;30;093
JUAN RODRÍGUEZ CLARA;30;094
JUCHIQUE DE FERRER;30;095
LANDERO Y COSS;30;096
LERDO DE TEJADA;30;097
MAGDALENA;30;098
MALTRATA;30;099
MANLIO FABIO ALTAMIRANO;30;100
MARIANO ESCOBEDO;30;101
MARTÍNEZ DE LA TORRE;30;102
MECATLÁN;30;103
MECAYAPAN;30;104
MEDELLÍN DE BRAVO;30;105
MIAHUATLÁN;30;106
LAS MINAS;30;107
MINATITLÁN;30;108
MISANTLA;30;109
MIXTLA DE ALTAMIRANO;30;110
MOLOACÁN;30;111
NAOLINCO;30;112
NARANJAL;30;113
NAUTLA;30;114
NOGALES;30;115
OLUTA;30;116
OMEALCA;30;117
ORIZABA;30;118
OTATITLÁN;30;119
OTEAPAN;30;120
OZULUAMA DE MASCAREÑAS;30;121
PAJAPAN;30;122
PÁNUCO;30;123
PAPANTLA;30;124
PASO DEL MACHO;30;125
PASO DE OVEJAS;30;126
LA PERLA;30;127
PEROTE;30;128
PLATÓN SÁNCHEZ;30;129
PLAYA VICENTE;30;130
POZA RICA DE HIDALGO;30;131
LAS VIGAS DE RAMÍREZ;30;132
PUEBLO VIEJO;30;133
PUENTE NACIONAL;30;134
RAFAEL DELGADO;30;135
RAFAEL LUCIO;30;136
LOS REYES;30;137
RÍO BLANCO;30;138
SALTABARRANCA;30;139
SAN ANDRÉS TENEJAPAN;30;140
SAN ANDRÉS TUXTLA;30;141
SAN JUAN EVANGELISTA;30;142
SANTIAGO TUXTLA;30;143
SAYULA DE ALEMÁN;30;144
SOCONUSCO;30;145
SOCHIAPA;30;146
SOLEDAD ATZOMPA;30;147
SOLEDAD DE DOBLADO;30;148
SOTEAPAN;30;149
TAMALÍN;30;150
TAMIAHUA;30;151
TAMPICO ALTO;30;152
TANCOCO;30;153
TANTIMA;30;154
TANTOYUCA;30;155
TATATILA;30;156
CASTILLO DE TEAYO;30;157
TECOLUTLA;30;158
TEHUIPANGO;30;159
ÁLAMO TEMAPACHE;30;160
TEMPOAL;30;161
TENAMPA;30;162
TENOCHTITLÁN;30;163
TEOCELO;30;164
TEPATLAXCO;30;165
TEPETLÁN;30;166
TEPETZINTLA;30;167
TEQUILA;30;168
JOSÉ AZUETA;30;169
TEXCATEPEC;30;170
TEXHUACÁN;30;171
TEXISTEPEC;30;172
TEZONAPA;30;173
TIERRA BLANCA;30;174
TIHUATLÁN;30;175
TLACOJALPAN;30;176
TLACOLULAN;30;177
TLACOTALPAN;30;178
TLACOTEPEC DE MEJÍA;30;179
TLACHICHILCO;30;180
TLALIXCOYAN;30;181
TLALNELHUAYOCAN;30;182
TLAPACOYAN;30;183
TLAQUILPA;30;184
TLILAPAN;30;185
TOMATLÁN;30;186
TONAYÁN;30;187
TOTUTLA;30;188
TUXPAN;30;189
TUXTILLA;30;190
URSULO GALVÁN;30;191
VEGA DE ALATORRE;30;192
VERACRUZ;30;193
VILLA ALDAMA;30;194
XOXOCOTLA;30;195
YANGA;30;196
YECUATLA;30;197
ZACUALPAN;30;198
ZARAGOZA;30;199
ZENTLA;30;200
ZONGOLICA;30;201
ZONTECOMATLÁN DE LÓPEZ Y FUENTES;30;202
ZOZOCOLCO DE HIDALGO;30;203
AGUA DULCE;30;204
EL HIGO;30;205
NANCHITAL DE LÁZARO CÁRDENAS DEL RÍO;30;206
TRES VALLES;30;207
CARLOS A. CARRILLO;30;208
TATAHUICAPAN DE JUÁREZ;30;209
UXPANAPA;30;210
SAN RAFAEL;30;211
SANTIAGO SOCHIAPAN;30;212
NO ESPECIFICADO;30;999
ABALÁ;31;001
ACANCEH;31;002
AKIL;31;003
BACA;31;004
BOKOBÁ;31;005
BUCTZOTZ;31;006
CACALCHÉN;31;007
CALOTMUL;31;008
CANSAHCAB;31;009
CANTAMAYEC;31;010
CELESTÚN;31;011
CENOTILLO;31;012
CONKAL;31;013
CUNCUNUL;31;014
CUZAMÁ;31;015
CHACSINKÍN;31;016
CHANKOM;31;017
CHAPAB;31;018
CHEMAX;31;019
CHICXULUB PUEBLO;31;020
CHICHIMILÁ;31;021
CHIKINDZONOT;31;022
CHOCHOLÁ;31;023
CHUMAYEL;31;024
DZÁN;31;025
DZEMUL;31;026
DZIDZANTÚN;31;027
DZILAM DE BRAVO;31;028
DZILAM GONZÁLEZ;31;029
DZITÁS;31;030
DZONCAUICH;31;031
ESPITA;31;032
HALACHÓ;31;033
HOCABÁ;31;034
HOCTÚN;31;035
HOMÚN;31;036
HUHÍ;31;037
HUNUCMÁ;31;038
IXIL;31;039
IZAMAL;31;040
KANASÍN;31;041
KANTUNIL;31;042
KAUA;31;043
KINCHIL;31;044
KOPOMÁ;31;045
MAMA;31;046
MANÍ;31;047
MAXCANÚ;31;048
MAYAPÁN;31;049
MÉRIDA;31;050
MOCOCHÁ;31;051
MOTUL;31;052
MUNA;31;053
MUXUPIP;31;054
OPICHÉN;31;055
OXKUTZCAB;31;056
PANABÁ;31;057
PETO;31;058
PROGRESO;31;059
QUINTANA ROO;31;060
RÍO LAGARTOS;31;061
SACALUM;31;062
SAMAHIL;31;063
SANAHCAT;31;064
SAN FELIPE;31;065
SANTA ELENA;31;066
SEYÉ;31;067
SINANCHÉ;31;068
SOTUTA;31;069
SUCILÁ;31;070
SUDZAL;31;071
SUMA;31;072
TAHDZIÚ;31;073
TAHMEK;31;074
TEABO;31;075
TECOH;31;076
TEKAL DE VENEGAS;31;077
TEKANTÓ;31;078
TEKAX;31;079
TEKIT;31;080
TEKOM;31;081
TELCHAC PUEBLO;31;082
TELCHAC PUERTO;31;083
TEMAX;31;084
TEMOZÓN;31;085
TEPAKÁN;31;086
TETIZ;31;087
TEYA;31;088
TICUL;31;089
TIMUCUY;31;090
TINUM;31;091
TIXCACALCUPUL;31;092
TIXKOKOB;31;093
TIXMEHUAC;31;094
TIXPÉHUAL;31;095
TIZIMÍN;31;096
TUNKÁS;31;097
TZUCACAB;31;098
UAYMA;31;099
UCÚ;31;100
UMÁN;31;101
VALLADOLID;31;102
XOCCHEL;31;103
YAXCABÁ;31;104
YAXKUKUL;31;105
YOBAÍN;31;106
NO ESPECIFICADO;31;999
APOZOL;32;001
APULCO;32;002
ATOLINGA;32;003
BENITO JUÁREZ;32;004
CALERA;32;005
CAÑITAS DE FELIPE PESCADOR;32;006
CONCEPCIÓN DEL ORO;32;007
CUAUHTÉMOC;32;008
CHALCHIHUITES;32;009
FRESNILLO;32;010
TRINIDAD GARCÍA DE LA CADENA;32;011
GENARO CODINA;32;012
GENERAL ENRIQUE ESTRADA;32;013
GENERAL FRANCISCO R. MURGUÍA;32;014
EL PLATEADO DE JOAQUÍN AMARO;32;015
GENERAL PÁNFILO NATERA;32;016
GUADALUPE;32;017
HUANUSCO;32;018
JALPA;32;019
JEREZ;32;020
JIMÉNEZ DEL TEUL;32;021
JUAN ALDAMA;32;022
JUCHIPILA;32;023
LORETO;32;024
LUIS MOYA;32;025
MAZAPIL;32;026
MELCHOR OCAMPO;32;027
MEZQUITAL DEL ORO;32;028
MIGUEL AUZA;32;029
MOMAX;32;030
MONTE ESCOBEDO;32;031
MORELOS;32;032
MOYAHUA DE ESTRADA;32;033
NOCHISTLÁN DE MEJÍA;32;034
NORIA DE ÁNGELES;32;035
OJOCALIENTE;32;036
PÁNUCO;32;037
PINOS;32;038
RÍO GRANDE;32;039
SAIN ALTO;32;040
EL SALVADOR;32;041
SOMBRERETE;32;042
SUSTICACÁN;32;043
TABASCO;32;044
TEPECHITLÁN;32;045
TEPETONGO;32;046
TEÚL DE GONZÁLEZ ORTEGA;32;047
TLALTENANGO DE SÁNCHEZ ROMÁN;32;048
VALPARAÍSO;32;049
VETAGRANDE;32;050
VILLA DE COS;32;051
VILLA GARCÍA;32;052
VILLA GONZÁLEZ ORTEGA;32;053
VILLA HIDALGO;32;054
VILLANUEVA;32;055
ZACATECAS;32;056
TRANCOSO;32;057
SANTA MARÍA DE LA PAZ;32;058
NO ESPECIFICADO;32;999
NO ESPECIFICADO;36;999
NO APLICA;97;997
SE IGNORA;98;998
NO ESPECIFICADO;99;999
